"Sebastian Kurz, Federal Chancellor, Austria"
"Charles Michel, Prime Minister, Belgium"
"Boyko Borisov, Minister-President, Bulgaria"
"Andrej Plenkovic, President, Croatia"
"Nicos Anastasiades, President, Cyprus"
"Andrej Babiš, Chairman of the Govt., Czech Republic"
"Lars Løkke Rasmussen, Minister of State, Denmark"
"Juri Ratas, Head Minister, Estonia"
"Juha Sipila, Minister of State, Finland"
"Emmanuel Macron, President, France"
"Angela Merkel, Federal Chancellor, Germany"
"Alexis Tsipras, President, Greece"
"Viktor Orbán, Minister-President, Hungary"
"Leo Varadkar, Prime Minister, Ireland"
"Giuseppe Conte, President, Italy"
"Maris Kucinskis, Minister-President, Latvia "
"Dalia Grybauskaite, President, Lithuania"
"Xavier Bettel , Prime Minister, Luxembourg"
"Joseph Muscat, Prime Minister, Malta"
"Mark Rutte, Minister-President, Netherlands"
"Mateusz Morawiecki, President, Poland"
"António Costa, Prime Minister, Portugal"
"Klaus Iohannis, President, Romania"
"Peter Pellegrini, Chairman of the Govt., Slovakia"
"Marjan Šarec, President, Slovenia"
"Pedro Sánchez, President, Spain"
"Stefan Löfven, Minister of State, Sweden"
"Theresa May, Prime Minister, United Kingdom"
"Organisation, Observer, European Central Bank"
